KM INTERIOR WORK PTE LTD,,,,,,,780,,,,CODED BY SHR,,,,,,,,,,,,,,,,,,,,,
Project Name List Year 2011 - Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Free of Charge,,No KM Worker. Outsourcing from Sub Con,ON GONING,SUPPLY (SALES) MATERIAL / LABOUR ONLY,,,100% BILLED,,,,,,,,,,,,,,,,,,,,
19,10223 H,,,,TAT SENG GLASS PTE LTD,,HARBOUR FRONT BAY,29.10.10,LIM TECK SENG,RITHOY,,,16.11.11,16.11.11,,,,,,,MD,,,,,10223,H,1,,,,
20,10227 M,,,,ISG ASIA (S) PTE LTD,LIM,NOMURA SINGAPORE @ MBFC#LV33/34/35/36/37 ,02.11.10,LEONG WOOT KEONG,CHEAH SWEE CHOON,,,10.09.11,10.09.11,,,,,,,PD,,,,,10227,M,1,,,,
21,10227 A,,,,ISG ASIA (S) PTE LTD,LIM,A & A WORK - NOMURA SINGAPORE @ MBFC#LV33/34/35/36/37 ,02.11.10,LEONG WOOT KEONG,CHEAH SWEE CHOON,,,10.09.11,10.09.11,,,,,,,PD,,,,,10227,A,1,,,,
22,10227 B,,,,ISG ASIA (S) PTE LTD,,A & A WORK - STONE HARBOR @ SUNTEC CITY TOWER 2 #09-03A,08.11.11,YAP CHIN HONG,,,,,10.09.12,,,,,,,PD,,,,,10227,B,1,,,,
23,10227 C,,,,ISG ASIA (S) PTE LTD,,A & A WORK - EDF @ STRAIT BUILDING,04.11.11,YAP CHIN HONG,,,,04.11.11,04.11.11,,,,,,,PD,,,,,10227,C,1,,,,
24,10228 P,,,,WAH LOON ENGINEERING PTE LTD,A. MURUGAN,YAHOO SINGAPORE 3 @ NO.46 PENJURU LANE HUB-3 LEVEL-5,24.11.10,SAM WONG,JASHIM,,,01.06.11,25.06.11,11.06.12,,Sam,11.06.12,,,MD,,,,,10228,P,1,,,,
25,10230 U,,,,ACME ASSOCIATES PTE LTD,,UPPER THOMSON,10.11.10,CALVIN TAN HEE CHYE,SAMSUDDEN,,,19.01.11,25.03.11,,,,,,,MD,,,,,10230,U,1,,,,
26,10231 W,,,,SHIMIZU CORPORATION,,WISMA ATRIA @ SITE OFFICE LEVEL 1 & 2,01.01.11,YAP CHIN HONG,,,,,30.08.11,,,,,,,PD,,,,,10231,W,1,,,,
27,10234 R,,,,HAK KIAN ENTERPRISES PTE LTD,,RIVERVALE MALL,03.11.10,YAP CHIN HONG,,,,26.03.11,26.03.11,,,,,,,PD,,,,,10234,R,1,,,,
28,10238 O,,,,SCA DESIGN PTE LTD,,OCEAN TOWER LV10-14,20.11.10,CALVIN TAN HEE CHYE,RITHOY,,,10.04.11,10.04.11,,,,,,,MD,,,,,10238,O,1,,,,
29,10239 M,,,,ISG ASIA (S) PTE LTD,,LOUIS VUITTON @ MARINA SAND #B1-38-B2-36,26.11.10,LEE KOCK HOONG,,,,23.09.11,23.09.11,,,,,,,PD,,,,,10239,M,1,2,,,
30,10239 A,,,,ISG ASIA (S) PTE LTD,,A & A Work - LOUIS VUITTON @ MARINA SAND #B1-38-B2-36,04.10.11,LEE KOCK HOONG,,,,17.01.12,17.01.12,,,,,,,PD,,,,,10239,A,1,,,,
31,10239 B,,,,ISG ASIA (S) PTE LTD,,I-CAP @ MARINA BAY FINANCE CENTRE ,08.10.11,Islam,,,,16.02.11,16.02.11,,,,,,,PD,,,,,10239,B,1,,,,
32,10241 T,,,,KINGSMEN PROJECTS PTE LTD,,CHANEL @ TAKA (marking on 30.11.10),30.11.10,Arumugam,,,,14.05.11,14.05.11,,,,,,,MD,,,,,10241,T,1,,,,
33,10242 R,,,,SCA DESIGN PTE LTD,,71 ROBINSON RD,01.12.10,BILLAL,,,,30.01.11,30.01.11,,,,,,,MD,,,,,10242,R,1,,,,
34,10245 C,,,,KINGSMEN PROJECTS PTE LTD,,VIVO PIZZA @ CENTRAL PLAZA,13.12.10,YAP CHIN HONG,,,,15.01.11,15.01.11,,,,,,,PD,,,,,10245,C,1,,,,
35,10247 S,,,,SHANGHAI CHONG KEE FURNITURE & CONSTRUCTION PTE LTD,,LIDO CINEPLEX @ SHAW CENTRE,17.12.10,ANDREW,,,,10.04.11,10.04.11,,,,,,,PD,,,,,10247,S,1,,,,
36,10248 R,,,,INTERSPACE PTE LTD,,"MITSUI & CO (ASIA PACIFIC) PTE LTD @ 80 ROBINSON RD #LV13,22/23/24/25/26/27/28",20.12.10,WILLIAM,Seng,,,09.07.11,09.07.11,,,,,,,MD,,,,,10248,R,1,,,,
37,10249 M,,,,KINGSMEN PROJECTS PTE LTD,,MUSEUM @ MARINA SAND,19.12.10,LIM TECK SENG,BILLAL,,,23.01.11,23.01.11,,,,,,,MD,,,,,10249,M,1,,,,
38,10250 C,,,,KINGSMEN PROJECTS PTE LTD,,NTUC HEALTHCARE @ CLEMENTI MALL #B1-10/11,23.12.10,LIEW CHEE WEI ,ISLAM,,,10.01.11,10.01.11,,,,,,,PD,,,,,10250,C,1,,,,
39,10252 S,,,,KINGSMEN PROJECTS PTE LTD,,SENTOSA BOARDWALK,27.12.10,LIM TECK SENG,BILLAL,,,07.01.11,07.01.11,,,,,,,MD,,,,,10252,S,1,,,,
40,11067 T,,,,KINGSMEN PROJECTS PTE LTD,,SAMSONITE @ AIRPORT TERMINAL 3,11.01.11,Islam,,,,18.01.11,18.01.11,,,,,,,PD,,,,,11067,T,1,,,,
41,11132 A,,,,ACME ASSOCIATES PTE LTD,LAWRENCE LIM,ANNEX BUILDING & HP LEVEL 5 @ KEPPEL DIGI HUB NO.25 SERANGOON NORTH AVE 5 (S25),01.01.11,LIM TEOW HIN,CHENG HEE KIANG,,,11.06.12,11.06.12,,,,,,,MD,,,,,11132,A,1,,,,
42,11166 S,,,,ISG ASIA (S) PTE LTD,,ISG OFFICE @ 1A LORONG TELOK,16.03.11,YAP CHIN HONG,,,,15.04.11,15.04.11,25.05.12,25.05.12,Yap,25.05.12,25.05.12,,PD,,,,,11166,S,1,,,,
43,11186 A,,,,KINGSMEN PROJECTS PTE LTD,JAMES,A&A WORK - BROOKS BROTHERS @ GRAND PARK HOTEL (night work)  ,24.01.11,HARUNUR,,,,24.01.11,24.01.11,,,,,,,MD,,,,,11186,A,1,,,,
44,11186 B,,,,KINGSMEN PROJECTS PTE LTD,JAMES,A&A WORK - BROOKS BROTHERS @ GRAND PARK HOTEL                                                                       (night work)  ,14.03.11,Khalil,,,,14.03.11,14.03.11,,,,,,,MD,,,,,11186,B,1,,,,
45,11193 A,,,,KINGSMEN EXHIBITS PTE LTD,,TIGER BEER APB (PHASE 2),20.01.11,LIM TECK SENG,BILLAL,,,18.02.11,18.02.11,,,,,,,MD,,,,,11193,A,1,,,,
46,11193 B,,,,KINGSMEN EXHIBITS PTE LTD,EDWIN,A&A WORK - TIGER BEER APB,30.03.11,LIM TECK SENG,PALANIYAPPAN,,,30.03.11,30.03.11,,,,,,,MD,,,,,11193,B,1,,,,
47,11193 T,,,,KINGSMEN PROJECTS PTE LTD,,TIGER BEER APB,10.01.11,WILLIAM,Xiao Qiang,,,15.01.11,15.01.11,,,,,,,MD,,,,,11193,T,1,,,,
48,11230 A,,,,ACME ASSOCIATES PTE LTD,,UPPER THOMSON,01.04.11,CALVIN TAN HEE CHYE (PM00014),VEERIAH,,,28.06.11,28.06.11,,,,,,,MD,,,,,11230,A,1,,,,
49,11243 P,,,,KINGSMEN PROJECTS PTE LTD,,AUSSINO @ PARAGON,06.01.11,WILLIAM,Teik Chye,,,14.01.11,14.01.11,,,,,,,MD,,,,,11243,P,1,,,,
50,11250 H,,,,KINGSMEN PROJECTS PTE LTD,,NTUC HEALTHCARE @ HARBOUR FRONT #LV2,08.05.11,Nizam,,,,15.05.11,16.05.11,,,,,,,PD,,,,,11250,H,1,,,,
51,11250 N,,,,KINGSMEN PROJECTS PTE LTD,,NTUC HEALTHCARE @ LINK BRIDGE,08.03.11,SUB-CON: HEE,SUB-CON: HEE,,,18.03.11,18.03.11,,,,,,,PD,,,,,11250,N,1,,,,
52,11250 R,,,,KINGSMEN PROJECTS PTE LTD,,NTUC HEALTHCARE @ RAFFLES CITY #B1-44L,15.04.11,SUB-CON: GOH MENG CHOON (KEAT),SUB-CON: LIANG CHING,,,20.04.11,21.04.11,,,,,,,PD,,,,,11250,R,1,,,,
53,11250 T,,,,KINGSMEN DESIGN PTE LTD,,NTUC HEALTHCARE @ THOMPSON PLAZA #01-102,21.08.11,SUB-CON: GOH MENG CHOON (KEAT),KM Worker for Plastering Only,,,24.08.11,24.08.11,,,,,,,PD,,,,,11250,T,1,,,,
54,11250 W,,,,KINGSMEN PROJECTS PTE LTD,,NTUC HEALTHCARE @ WESTMALL ,15.01.11,SUB-CON: MENG,,,,25.01.11,25.01.11,,,,,,,PD,,,,,11250,W,1,,,,
55,11253 C,,,,TMS DESIGN (S) PTE LTD,,SPECTACLE HUT @ CLEMENTI MALL #01-04,08.01.11,Islam,,,,20.01.11,20.01.11,,,,,,,Chun,,,,,11253,C,1,,,,
56,11253 M,,,,TMS DESIGN (S) PTE LTD,DEREK YOW,SPECTACLE HUT BOUTIQUE @ MARINA SQUARE #02-214,03.05.11,CALVIN TAN HEE CHYE,SHAHID,,,23.05.11,23.05.11,,,,,,,Chun,,,,,11253,M,1,,,,
57,11254 M,,,,KINGSMEN PROJECTS PTE LTD,,LG @ MARINA BAY SAND,05.01.11,LIM TECK SENG,SELEM,,,30.03.11,30.03.11,,,,,,,MD,,,,,11254,M,1,,,,
58,11255 A,,,,TMS DESIGN (S) PTE LTD,ANDY,SPORTS HUB SALES CENTRE @ SINGAPORE INDOOR STADIUM,06.01.11,IBRAHIM,,,,06.01.11,06.01.11,,,,,,,Chun,,,,,11255,A,1,,,,
59,11255 B,,,,TMS DESIGN (S) PTE LTD,ANDREW,DOCKERS @ SUNTEC CITY #01-015,07.01.11,Rahman,,,,07.01.11,07.01.11,,,,,,,Chun,,,,,11255,B,1,,,,
60,11255 C,,,,TMS DESIGN (S) PTE LTD,ANDY,ALDO @ WISMA,12.01.11,ZOHERUL,,,,12.01.11,12.01.11,,,,,,,Chun,,,,,11255,C,1,,,,
61,11255 C,,,,TMS DESIGN (S) PTE LTD,ANDY,ALDO @ PLAZA SINGAPORE,12.01.11,ZOHERUL,,,,12.01.11,12.01.11,,,,,,,Chun,,,,,11255,C,1,,,,
62,11255 C,,,,TMS DESIGN (S) PTE LTD,ANDY,ALDO @ VIVO CITY,12.01.11,ZOHERUL,,,,12.01.11,12.01.11,,,,,,,Chun,,,,,11255,C,1,,,,
63,11255 C,,,,TMS DESIGN (S) PTE LTD,ANDY,ALDO @ RAFFLES CITY,12.01.11,ZOHERUL,,,,12.01.11,12.01.11,,,,,,,Chun,,,,,11255,C,1,,,,
64,11255 D,,,,TMS DESIGN (S) PTE LTD,YAP,A & A WORK - PANDORA @ TAMPINES MALL #01-27,04.01.11,Ambu,,,,04.01.11,04.01.11,,,,,,,Chun,,,,,11255,D,1,,,,
65,11255 D,,,,TMS DESIGN (S) PTE LTD,YAP,A & A WORK - PANDORA @ TAMPINES MALL #01-27,27.01.11,ABU DAUD,,,,27.01.11,27.01.11,,,,,,,Chun,,,,,11255,D,1,,,,
66,11255 E,,,,TMS DESIGN (S) PTE LTD,ANDY,A & A WORK - ALL HAVAIANAS @ RAFFLES CITY #01-03,23.02.11,CALVIN TAN HEE CHYE,LONGMAN,,,23.02.11,23.02.11,,,,,,,Chun,,,,,11255,E,1,,,,
67,11255 F,,,,TMS DESIGN (S) PTE LTD,ANDY,A & A WORK - LEVIS SIGNATURE @ TAMPINES MALL #01-09,23.02.11,HARUNUR,,,,23.02.11,23.02.11,,,,,,,Chun,,,,,11255,F,1,,,,
68,11255 G,,,,TMS DESIGN (S) PTE LTD,YAP,A & A WORK - KALOTI  JEWELLERY @ CHANGI SOUTH AVE 2 #02-23,04.03.11,Ambu,,,,04.03.11,04.03.11,,,,,,,Chun,,,,,11255,G,1,,,,
69,11255 H,,,,TMS DESIGN (S) PTE LTD,ANDY,A & A WORK - ALDO @ AIRPORT TERMINAL 2,01.04.11,Longman,,,,01.04.11,01.04.11,,,,,,,Chun,,,,,11255,H,1,,,,
70,11255 I,,,,TMS DESIGN (S) PTE LTD,ANDY,A & A WORK - ALL HAVAIANAS @ RAFFLES CITY #01-03  (FOC),07.04.11,CALVIN TAN HEE CHYE,THAMBI,,,07.04.11,07.04.11,,,,,,,Chun,,,,,11255,I,1,,,,
71,11255 J,,,,TMS DESIGN (S) PTE LTD,ANDY,A & A WORK - ALL HAVAIANAS @ BUGIS JUNCTION #02-20,07.04.11,CALVIN TAN HEE CHYE,THAMBI,,,07.04.11,07.04.11,,,,,,,Chun,,,,,11255,J,1,,,,
72,11255 K,,,,TMS DESIGN (S) PTE LTD,YAP,A & A WORK - PANDORA @ AIRPORT TERMINAL 1                                                                                             (night work),11.04.11,Longman,,,,11.04.11,11.04.11,,,,,,,MD,,,,,11255,K,1,,,,
73,11255 L,,,,TMS DESIGN (S) PTE LTD,ANDY,A & A WORK - ALDO @ 313 SOMERSET #02-240,09.05.11,ABU DAUD,IBRAHIM,,,09.05.11,09.05.11,,,,,,,Chun,,,,,11255,L,1,,,,
74,11255 M,,,,TMS DESIGN (S) PTE LTD,DEREK YOW,A & A WORK - CHATIME @ NOVENA SQUARE #01-07,16.05.11,ABU DAUD,IBRAHIM,,,19.05.11,19.05.11,,,,,,,Chun,,,,,11255,M,1,,,,
75,11255 N,,,,TMS DESIGN (S) PTE LTD,ANDY,A & A WORK - ALL HAVAIANAS @ ION,,ABU DAUD,,,,,,,,,,,,Chun,,,,,11255,N,1,,,,
76,11255 O,,,,TMS DESIGN (S) PTE LTD,DEREK YOW,A & A WORK-SKAGEN@MILLENIA WALK#01-81,04.11.11,Juwel,,,,04.11.11,04.11.11,,,,,,,MD,,,,,11255,O,1,,,,
77,11255 P,,,,TMS DESIGN (S) PTE LTD,,A & A WORK-OROGOLD @ MBS BASEMENT 2. ,04.01.12,RIDHOY (BA00046),,,,,04.01.12,,,,,,,MD,,,,,11255,P,1,,,,
78,11256 A,,,,ACME ASSOCIATES PTE LTD,,LABRADOR PANK S/S,14.03.11,LIM TEOW HIN,AZAHAR,,,14.03.11,14.03.11,,,,,,,MD,,,,,11256,A,1,,,,
79,11256 T,,,,ACME ASSOCIATES PTE LTD,KENNETH,HL BANK @ TUNG CENTRE #LV 5,07.01.11,WILLIAM,Rahman,,,07.01.11,07.01.11,,,,,,,MD,,,,,11256,T,1,,,,
80,11256 T,,,,ACME ASSOCIATES PTE LTD,KENNETH,HL BANK @ TUNG CENTRE #LV 5                                                                      (protection work),04.03.11,WILLIAM,Rahman,,,05.03.11,05.03.11,,,,,,,MD,,,,,11256,T,1,,,,
81,11256 T,,,,ACME ASSOCIATES PTE LTD,KENNETH,HL BANK @ TUNG CENTRE #LV 5,18.05.11,WILLIAM,Arulanthu,,,18.05.11,18.05.11,,,,,,,MD,,,,,11256,T,1,,,,
82,11257 A,,,,PRECISE INTERNATIONAL PTE LTD,,SHISEIDO @ CK TANG,13.01.11,SUB-CON: HENG,,,,20.03.11,20.03.11,,,,,,,MD,,,,,11257,A,1,,,,
83,11257 C,,,,PRECISE INTERNATIONAL PTE LTD,,SHISEIDO @ CK TANG,06.01.11,SUB-CON: PIEW,,,,06.01.11,06.01.11,,,,,,,MD,,,,,11257,C,1,,,,
84,11258 R,,,,TMS DESIGN (S) PTE LTD,,PRECISE THOTS @ RAFFLES PLACE #B1-24,11.01.11,CHONG TEIK CHYE,LAU YONG MENG,,,25.01.11,25.01.11,,,,,,,Chun,,,,,11258,R,1,,,,
85,11259 M,,,,YEW LEE DECORATIONS  PTE LTD,,MUSTAFA CENTRE EXTENSION 4 #LV1-2,12.01.11,CALVIN TAN HEE CHYE,YONG MENG,,,14.01.11,14.01.11,,,,,,,MD,,,,,11259,M,1,,,,
86,11260 A,,,,KINGSMEN PROJECTS PTE LTD,,ADIDAS @ AIRPORT T3 (marking on 10.01.11),10.01.11,HIEW CHOONG SENG,XIAO QIANG,,,16.02.11,16.02.11,,,,,,,MD,,,,,11260,A,1,,,,
87,11260 M,,,,KINGSMEN PROJECTS PTE LTD,ANGUS,ADIDAS @ MARINA SAND ,14.01.11,BILLAL,,,,24.01.11,24.01.11,,,,,,,MD,,,,,11260,M,1,,,,
88,11262 A,,,,SCA DESIGN PTE LTD,NORMAN,A & A WORK @ 20 ANSON RD,07.01.11,Anwar,,,,07.01.11,07.01.11,,,,,,,Chun,,,,,11262,A,1,,,,
89,11262 B,,,,SCA DESIGN PTE LTD,NORMAN,A & A WORK @ THE GALLUP ORGANIZATION @ SPRINGLEAF TOWER #LV32,12.01.11,ABU DAUD,,,,12.01.11,12.01.11,,,,,,,Chun,,,,,11262,B,1,,,,
90,11262 C,,,,SCA DESIGN PTE LTD,TAKU,A & A WORK @ 150 UBI AVE 4 LV5,13.01.11,Mostak,,,,13.01.11,13.01.11,,,,,,,Chun,,,,,11262,C,1,,,,
91,11262 D,,,,SCA DESIGN PTE LTD,TAKU,A & A WORK @ RABOBANK @ SIA BUILDING,07.01.11,IBRAHIM,,,,07.01.11,07.01.11,,,,,,,Chun,,,,,11262,D,1,,,,
92,11262 E,,,,SCA DESIGN PTE LTD,NORMAN,A & A WORK - EMC @ CHANGI BUSINESS PARK #LV 5,21.01.11,ZAHIR,,,,22.01.11,22.01.11,,,,,,,MD,,,,,11262,E,1,,,,
93,11262 F,,,,SCA DESIGN PTE LTD,NORMAN,A & A WORK - RIO TINTO @ CENTENNIAL TOWER LV23,15.01.11,Rafi,,,,15.01.11,15.01.11,,,,,,,Chun,,,,,11262,F,1,,,,
94,11262 G,,,,SCA DESIGN PTE LTD,TAKU,A & A WORK - ALLERGAN @ MBC,22.01.11,ABU DAUD,,,,22.01.11,22.01.11,,,,,,,MD,,,,,11262,G,1,,,,
95,11262 H,,,,SCA DESIGN PTE LTD,NORMAN,A & A WORK - OUB LV60,04.03.11,SAMSUDDEN,,,,04.03.11,04.03.11,,,,,,,MD,,,,,11262,H,1,,,,
96,11262 I,,,,SCA DESIGN PTE LTD,NORMAN,A & A WORK - SERTEX @ SCIENCE PARK 2,08.03.11,IBRAHIM,ZAMAL,,,08.03.11,08.03.11,,,,,,,MD,,,,,11262,I,1,,,,
97,11262 J,,,,SCA DESIGN PTE LTD,NORMAN,PUTTY & PAINTING WORK @ 991 SCA OFFICE,11.03.11,Lye,,,,19.03.11,19.03.11,,,,,,,MD,,,,,11262,J,1,,,,
98,11262 K,,,,SCA DESIGN PTE LTD,JOHNNY,A & A WORK - PARTNER GROUP @ 71 ROBINSON,19.03.11,SAMSUDDEN,,,,19.03.11,19.03.11,,,,,,,MD,,,,,11262,K,1,,,,
99,11262 K,,,,SCA DESIGN PTE LTD,NORMAN,A & A WORK - PARTNER GROUP @ 71 ROBINSON,04.04.11,SAMSUDDEN,,,,04.04.11,04.04.11,,,,,,,MD,,,,,11262,K,1,,,,
100,11262 K,,,,SCA DESIGN PTE LTD,NORMAN,A & A WORK - PARTNER GROUP @ 71 ROBINSON,29.04.11,SAMSUDDEN,,,,29.04.11,29.04.11,,,,,,,MD,,,,,11262,K,1,,,,
101,11262 L,,,,SCA DESIGN PTE LTD,NORMAN,A & A WORK - LUXASIA @ TAI SENG ,30.03.11,Longman,,,,30.03.11,30.03.11,,,,,,,MD,,,,,11262,L,1,,,,
102,11262 M,,,,SCA DESIGN PTE LTD,NORMAN,A & A WORK - TOWERS WATSON #05-01 @ 135 CECIL ST ,02.04.11,Thambi / Samsudden,,,,02.04.11,02.04.11,,,,,,,MD,,,,,11262,M,1,,,,
103,11262 N,,,,SCA DESIGN PTE LTD,NORMAN,A & A WORK - BBDO @ RIVERSIDE POINT LV 3,16.04.11,Thambi / Rajib,,,,16.04.11,16.04.11,,,,,,,MD,,,,,11262,N,1,,,,
104,11262 O,,,,SCA DESIGN PTE LTD,NORMAN,A & A WORK -ALLERGAN @ MBC,16.04.11,ZOHERUL,,,,16.04.11,16.04.11,,,,,,,MD,,,,,11262,O,1,,,,
105,11262 P,,,,SCA DESIGN PTE LTD,NORMAN,A & A WORK - EMC @ CHANGI BUSINESS PARK #LV 5,23.04.11,Rahman,,,,24.04.11,24.04.11,,,,,,,MD,,,,,11262,P,1,,,,
106,11262 Q,,,,SCA DESIGN PTE LTD,NORMAN,A & A WORK - RABOBANK @ SIA BUILDING,23.04.11,LIM PEE JET,ARULANTHU,,,23.04.11,23.04.11,,,,,,,MD,,,,,11262,Q,1,,,,
107,11262 R,,,,SCA DESIGN PTE LTD,TAKU,A & A WORK - TOYOTA @ 20 ANSON RD,30.04.11,Juwel,,,,30.04.11,30.04.11,,,,,,,MD,,,,,11262,R,1,,,,
108,11262 S,,,,SCA DESIGN PTE LTD,ERIC,A & A WORK - SWOASKI @ DELTA HOUSE,13.05.11,SAM WONG,RAFI,,,15.05.11,15.05.11,,,,,,,MD,,,,,11262,S,1,,,,
109,11262 T,,,,SCA DESIGN PTE LTD,TAKU,SUPPLY WORKER - A-STAR @ FUSION POLIS,13.05.11,JASHIM,,,,,29.06.11,,,,,,,MD,,,,,11262,T,1,,,,
110,11262 U,,,,SCA DESIGN PTE LTD,,"A & A WORK  -LEE & LEE @ 50 RAFFLES PLACE SINGAPORE LAND TOWER - LEVEL 06, 07 & 36",16.12.11,ZOHERUL,,,,,16.12.11,,,,,,,MD,,,,,11262,U,1,,,,
111,11263 A,,,,INTERSPACE PTE LTD,KM CHONG,A & A WORK - JTB @ 79 ANSON RD #12-01/06                                                                                                 ,15.01.11,Rafi,,,,15.01.11,15.01.11,,,,,,,Chun,,,,,11263,A,1,,,,
112,11263 B,,,,INTERSPACE PTE LTD,DON TAN,A & A WORK - 5 TYERSALL ROAD,20.01.11,Sundarum,,,,20.01.11,20.01.11,,,,,,,MD,,,,,11263,B,1,,,,
113,11263 B,,,,INTERSPACE PTE LTD,DON TAN,A & A WORK - 5 TYERSALL ROAD,14.02.11,Sofiqul,,,,14.02.11,14.02.11,,,,,,,MD,,,,,11263,B,1,,,,
114,11263 B,,,,INTERSPACE PTE LTD,DON TAN,A & A WORK - 5 TYERSALL ROAD,28.03.11,CALVIN TAN HEE CHYE,,,,31.03.11,31.03.11,,,,,,,MD,,,,,11263,B,1,,,,
